environment,archive_size,best_value,num_solutions
1,5,1.0708953642669659e-08,5
2,4,7.280450251813109e-09,4
3,0,,0
4,4,4.5715564036813065e-09,4
5,3,8.211798492774407e-09,3
6,0,,0
7,4,6.194441063957849e-09,4
8,4,2.6103334057076474e-08,4
9,0,,0
10,4,8.235276917658276e-09,4
11,4,9.147106736315335e-09,4
12,0,,0
13,4,1.1450862286409307e-08,4
14,5,6.48335936760586e-09,5
15,0,,0
16,4,3.806669676363445e-09,4
17,5,5.625111601527044e-09,5
18,0,,0
19,4,4.559285323154163e-09,4
20,5,1.815343856482691e-09,5
21,0,,0
22,5,7.835983602433383e-09,5
23,4,1.6944063418477117e-08,4
24,0,,0
25,4,7.484223574019717e-09,4
26,4,1.5955666962756332e-08,4
27,0,,0
28,4,1.7376454769518463e-08,4
29,5,3.1860051179270945e-09,5
30,0,,0
31,5,3.736217442838434e-08,5
32,4,2.2830686761234366e-09,4
33,0,,0
34,5,2.264827460609141e-08,5
35,4,3.336190979936696e-09,4
36,0,,0
37,4,5.394192865661775e-09,4
38,3,3.288155511478605e-08,3
39,0,,0
40,4,4.056949171143194e-09,4
41,4,4.489292648028142e-09,4
42,0,,0
43,4,1.1634702560807447e-08,4
44,5,1.1798659753280266e-08,5
45,0,,0
46,4,9.770131869709708e-09,4
47,4,5.073355607603372e-09,4
48,0,,0
49,4,4.136150376348828e-09,4
50,4,9.33210420576174e-09,4
51,0,,0
52,3,2.5903556232889484e-09,3
53,4,9.71324220006874e-09,4
54,0,,0
55,5,6.757419901727045e-09,5
56,5,7.498559995551813e-09,5
57,0,,0
58,4,2.9053656612805153e-08,4
59,2,4.384582328469551e-09,2
60,0,,0
