environment,archive_size,best_value,num_solutions
1,4,2.2243348243325012e-08,4
2,3,2.1129372155386652e-08,3
3,0,,0
4,4,9.986596025962919e-09,4
5,4,8.551008490852361e-09,4
6,0,,0
7,1,4.039705018546197e-08,1
8,1,7.780553038000398e-09,1
9,0,,0
10,2,7.358709059895273e-09,2
11,3,6.7088766158413014e-09,3
12,0,,0
13,2,1.7048744938064068e-08,2
14,2,1.941494361069191e-09,2
15,0,,0
16,2,2.4709463900788403e-08,2
17,3,2.4208318124957036e-08,3
18,0,,0
19,3,1.3410311029899633e-08,3
20,3,4.615789213066195e-09,3
21,0,,0
22,3,6.9166257690037705e-09,3
23,3,3.7637267135146534e-09,3
24,0,,0
25,3,2.2595046478990964e-08,3
26,4,8.041917591635626e-09,4
27,0,,0
28,3,1.1550856102557068e-08,3
29,3,6.9265753351649666e-09,3
30,0,,0
31,4,1.1533171815921675e-08,4
32,4,5.606530913126261e-09,4
33,0,,0
34,3,4.0932644913115444e-09,3
35,4,1.1349839798957537e-08,4
36,0,,0
37,4,7.485572885912497e-09,4
38,4,3.6531661919142224e-09,4
39,0,,0
40,4,7.940312863511876e-09,4
41,4,1.1275689695155757e-08,4
42,0,,0
43,5,2.6536409793239653e-08,5
44,4,1.1654543049304298e-08,4
45,0,,0
46,4,7.720617145202375e-09,4
47,4,8.336252155503656e-09,4
48,0,,0
49,3,1.0774393571835307e-08,3
50,3,7.285624679046844e-09,3
51,0,,0
52,4,2.258245602231817e-08,4
53,4,1.549765517380701e-08,4
54,0,,0
55,4,4.2640869266346174e-09,4
56,4,6.981280276162317e-09,4
57,0,,0
58,4,1.6007033483639262e-08,4
59,4,8.64996977863504e-09,4
60,0,,0
