environment,archive_size,best_value,num_solutions
1,4,9.177359101369218e-09,4
2,4,9.095928140735096e-09,4
3,0,,0
4,4,1.04445558377749e-08,4
5,4,6.848070943412648e-09,4
6,0,,0
7,3,2.514003891386382e-09,3
8,3,1.3797167227975761e-08,3
9,0,,0
10,3,1.6984242079677964e-08,3
11,3,5.5006739018470656e-09,3
12,0,,0
13,3,1.1577765592019043e-08,3
14,3,7.861957349141163e-09,3
15,0,,0
16,3,1.1979199163243482e-08,3
17,3,6.4417479118999425e-09,3
18,0,,0
19,3,1.1919971608138654e-08,3
20,3,8.411775807392688e-09,3
21,0,,0
22,3,7.360251323790998e-09,3
23,3,8.374787833047344e-09,3
24,0,,0
25,3,3.272976976073153e-09,3
26,3,3.583698009035678e-09,3
27,0,,0
28,3,7.728588390998906e-09,3
29,3,1.7536083002980023e-09,3
30,0,,0
31,3,3.0925509340454164e-09,3
32,3,2.121686857116077e-08,3
33,0,,0
34,4,5.2792083797135716e-09,4
35,4,1.7103280881140222e-08,4
36,0,,0
37,3,1.6078982360404124e-08,3
38,4,8.001080243111081e-09,4
39,0,,0
40,4,3.460172500752974e-09,4
41,4,5.23021560646313e-09,4
42,0,,0
43,4,8.415880178499896e-09,4
44,4,5.3951479756184695e-08,4
45,0,,0
46,4,7.75524608647826e-09,4
47,4,1.0210575399962891e-08,4
48,0,,0
49,4,1.0810579360736484e-08,4
50,3,2.7313481715040323e-09,3
51,0,,0
52,4,1.5372030166991986e-08,4
53,4,5.367497213765955e-09,4
54,0,,0
55,4,1.609470262171824e-08,4
56,4,1.106007075319188e-08,4
57,0,,0
58,4,7.860587863549377e-09,4
59,4,3.419757418261556e-09,4
60,0,,0
