environment,archive_size,best_value,num_solutions
1,3,1.0338765662701307e-08,3
2,4,4.366259785833464e-09,4
3,0,,0
4,4,8.15916400589833e-09,4
5,4,9.910960539190513e-09,4
6,0,,0
7,3,2.8856223963556657e-09,3
8,3,9.671767529671362e-09,3
9,0,,0
10,3,1.151054265327502e-08,3
11,3,9.271049718085644e-09,3
12,0,,0
13,3,8.858616066983531e-09,3
14,3,1.8064565423984873e-08,3
15,0,,0
16,3,3.765277638767544e-09,3
17,3,4.004054177182444e-09,3
18,0,,0
19,3,1.0360145476781646e-08,3
20,3,5.3589999600652886e-09,3
21,0,,0
22,3,1.1823690293311442e-08,3
23,2,6.591615161984951e-09,2
24,0,,0
25,3,7.447676302559022e-09,3
26,4,3.746224103382584e-09,4
27,0,,0
28,3,1.1616704570484718e-08,3
29,3,4.403077933743734e-09,3
30,0,,0
31,4,6.147630980939643e-09,4
32,4,1.580263276522531e-08,4
33,0,,0
34,4,1.2111333948472642e-08,4
35,4,4.985005933924571e-09,4
36,0,,0
37,4,5.902745595827953e-09,4
38,4,1.3810966456806724e-08,4
39,0,,0
40,4,5.143215871438322e-09,4
41,4,3.897974709230495e-08,4
42,0,,0
43,4,1.1128484458481856e-08,4
44,4,1.344695478506935e-08,4
45,0,,0
46,4,1.475139356430816e-08,4
47,4,7.885268978075338e-09,4
48,0,,0
49,4,1.7052469445176132e-08,4
50,4,2.2379399888649297e-08,4
51,0,,0
52,2,5.465329758443889e-09,2
53,4,6.8915493647062655e-09,4
54,0,,0
55,4,5.418418492932499e-09,4
56,4,1.0436086062183269e-08,4
57,0,,0
58,4,5.071154713215989e-09,4
59,4,7.725349108035082e-09,4
60,0,,0
