environment,archive_size,best_value,num_solutions
1,4,1.3244406592858058e-08,4
2,4,5.8143879907183614e-09,4
3,0,,0
4,4,1.0403669618567782e-08,4
5,4,1.7426389514746238e-08,4
6,0,,0
7,4,1.6227065495926648e-08,4
8,4,8.726244136473632e-09,4
9,0,,0
10,5,6.974072924427091e-09,5
11,5,1.499262584875333e-08,5
12,0,,0
13,1,3.1878796653916316e-08,1
14,4,1.3048362696677252e-08,4
15,0,,0
16,4,1.0175327889501406e-08,4
17,4,6.148030635797197e-09,4
18,0,,0
19,4,1.1873506557635613e-08,4
20,4,2.412381876555973e-08,4
21,0,,0
22,4,3.313057146775527e-08,4
23,4,5.871744611263124e-09,4
24,0,,0
25,5,6.226218213790837e-09,5
26,4,3.5452505665485204e-08,4
27,0,,0
28,4,4.298339170725783e-08,4
29,4,1.614654074855022e-08,4
30,0,,0
31,4,2.1450126770090106e-08,4
32,4,1.4207432276442672e-08,4
33,0,,0
34,4,1.0551048460814289e-08,4
35,5,1.6328969160489252e-08,5
36,0,,0
37,5,8.770938396727359e-09,5
38,3,4.82122702322377e-09,3
39,0,,0
40,4,6.591251911196762e-09,4
41,4,4.929884098924838e-09,4
42,0,,0
43,4,4.435324523118041e-09,4
44,4,3.871590462907952e-09,4
45,0,,0
46,4,1.0343272904190831e-08,4
47,5,1.4404646260148369e-08,5
48,0,,0
49,1,2.7967324976085017e-08,1
50,4,2.2359310706438747e-08,4
51,0,,0
52,4,6.307911128992618e-09,4
53,5,5.753720242799017e-09,5
54,0,,0
55,5,4.570432294194943e-09,5
56,4,2.8962472061461753e-08,4
57,0,,0
58,5,1.7865172744098334e-09,5
59,4,8.441529658888001e-09,4
60,0,,0
