environment,archive_size,best_value,num_solutions
1,5,7.950345652137814e-09,5
2,4,9.16965763055861e-09,4
3,0,,0
4,5,1.509765606635777e-08,5
5,4,2.3095622905630682e-08,4
6,0,,0
7,5,6.077292940318861e-09,5
8,4,7.196721760933949e-09,4
9,0,,0
10,4,1.1968568007239257e-08,4
11,4,3.4633111081723398e-09,4
12,0,,0
13,3,1.476822265558759e-08,3
14,4,9.47525351164042e-09,4
15,0,,0
16,4,2.3517877001551037e-09,4
17,4,3.819508545449599e-09,4
18,0,,0
19,4,1.1381817825163786e-08,4
20,3,9.432178362463634e-09,3
21,0,,0
22,4,3.2648347379055855e-09,4
23,4,1.3349459310466272e-08,4
24,0,,0
25,5,5.315690758504419e-09,5
26,4,1.0752053626835046e-08,4
27,0,,0
28,5,2.531714165987452e-09,5
29,4,6.685961873798648e-09,4
30,0,,0
31,5,5.769112248902099e-09,5
32,5,6.387069261122883e-09,5
33,0,,0
34,4,5.412994085073603e-09,4
35,4,2.260644679895813e-08,4
36,0,,0
37,4,3.7065963135430006e-09,4
38,4,5.341224996363061e-09,4
39,0,,0
40,4,2.3315544508174735e-08,4
41,4,8.98626327308956e-09,4
42,0,,0
43,4,7.590659307981046e-09,4
44,4,9.52382273712697e-09,4
45,0,,0
46,3,9.302265782688296e-09,3
47,5,1.1246076516732729e-08,5
48,0,,0
49,4,5.800402821763036e-09,4
50,4,4.040163837949678e-09,4
51,0,,0
52,4,2.865054981065872e-09,4
53,4,9.834534470342062e-09,4
54,0,,0
55,5,3.896094272402049e-09,5
56,5,2.599154899444726e-09,5
57,0,,0
58,4,7.850232848696388e-09,4
59,4,2.519684017523082e-09,4
60,0,,0
