environment,archive_size,best_value,num_solutions
1,5,1.0097213758657263e-08,5
2,4,7.907204571719606e-09,4
3,0,,0
4,4,1.0453643087747946e-08,4
5,4,1.0485941683663191e-08,4
6,0,,0
7,5,1.0169237127660704e-08,5
8,5,1.5232313118031379e-09,5
9,0,,0
10,5,6.0245015719260005e-09,5
11,4,2.27703657064833e-09,4
12,0,,0
13,3,3.454810845970647e-08,3
14,5,5.049743589308214e-09,5
15,0,,0
16,3,4.075076180459332e-09,3
17,4,5.804004455876106e-09,4
18,0,,0
19,3,1.8795762394433907e-08,3
20,4,1.1947732674393802e-08,4
21,0,,0
22,5,8.615394861151363e-09,5
23,4,1.3983343264935384e-08,4
24,0,,0
25,5,1.4829616648466016e-08,5
26,4,3.891404969785044e-08,4
27,0,,0
28,4,8.442366964859718e-09,4
29,4,1.797177151656211e-08,4
30,0,,0
31,3,1.4817546577730167e-08,3
32,5,4.1360844340635336e-09,5
33,0,,0
34,4,6.820631680329564e-09,4
35,4,6.498542427324632e-09,4
36,0,,0
37,4,1.4459190379885221e-08,4
38,4,9.707872557467305e-09,4
39,0,,0
40,5,1.2728483816692967e-08,5
41,4,6.319176846972712e-09,4
42,0,,0
43,4,1.8070018554354332e-08,4
44,4,5.126391819335985e-09,4
45,0,,0
46,5,6.9006820198707176e-09,5
47,5,6.854191018433832e-09,5
48,0,,0
49,4,6.740500252007441e-09,4
50,4,1.978940214869662e-08,4
51,0,,0
52,4,2.6834883971860683e-08,4
53,5,8.696735711872259e-09,5
54,0,,0
55,5,3.16241040503163e-09,5
56,4,7.676106259282563e-09,4
57,0,,0
58,4,4.725774378336607e-09,4
59,4,1.2643615676516259e-08,4
60,0,,0
