environment,archive_size,best_value,num_solutions
1,5,6.545524120134672e-09,5
2,5,3.1304418011029618e-09,5
3,0,,0
4,4,1.9911383187045192e-08,4
5,4,1.2804557855415419e-08,4
6,0,,0
7,5,8.082112162877368e-09,5
8,4,8.265874389588242e-09,4
9,0,,0
10,3,1.761869268835423e-08,3
11,4,1.2254182661296713e-08,4
12,0,,0
13,5,1.534985269763661e-08,5
14,4,9.53883149140388e-09,4
15,0,,0
16,5,1.431598010654286e-08,5
17,4,2.707956612583005e-09,4
18,0,,0
19,4,6.401089727424754e-09,4
20,4,1.2743676763335376e-08,4
21,0,,0
22,5,5.853253906815483e-09,5
23,3,2.340211850459723e-08,3
24,0,,0
25,4,3.3210611857283676e-09,4
26,5,1.566887743369569e-08,5
27,0,,0
28,4,6.907341041237728e-09,4
29,5,2.414986908551273e-08,5
30,0,,0
31,4,1.0673287055480085e-08,4
32,5,9.454467384427612e-09,5
33,0,,0
34,5,6.877638872848292e-09,5
35,5,1.4912261383541701e-09,5
36,0,,0
37,4,1.2215968728994219e-08,4
38,4,2.9285798758936493e-09,4
39,0,,0
40,4,7.753322976116482e-09,4
41,5,2.0792120729305294e-08,5
42,0,,0
43,4,8.382772575436723e-09,4
44,5,3.0724719928219323e-09,5
45,0,,0
46,3,5.2735701715498955e-09,3
47,4,1.0685819322947948e-08,4
48,0,,0
49,1,6.080117487709306e-08,1
50,4,2.5107437057899157e-08,4
51,0,,0
52,5,1.1434823281986595e-08,5
53,5,1.0272349530601571e-08,5
54,0,,0
55,5,1.0716952292271973e-08,5
56,4,1.0814059670543267e-08,4
57,0,,0
58,5,2.2326392201231705e-08,5
59,4,1.193350275695854e-08,4
60,0,,0
