environment,tol_0.001,tol_0.0001,tol_1e-05
1,0.5,0.5,0.5
2,0.5,0.5,0.5
3,0.0,0.0,0.0
4,0.6666666666666666,0.6666666666666666,0.6666666666666666
5,0.5,0.5,0.5
6,0.0,0.0,0.0
7,0.5,0.5,0.5
8,0.5,0.5,0.5
9,0.0,0.0,0.0
10,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,0.5,0.5,0.5
12,0.0,0.0,0.0
13,0.5,0.5,0.5
14,0.5,0.5,0.5
15,0.0,0.0,0.0
16,0.5,0.5,0.5
17,0.5,0.5,0.5
18,0.0,0.0,0.0
19,0.5,0.5,0.5
20,0.5,0.5,0.5
21,0.0,0.0,0.0
22,0.5,0.5,0.5
23,0.6666666666666666,0.6666666666666666,0.6666666666666666
24,0.0,0.0,0.0
25,0.5,0.5,0.5
26,0.6666666666666666,0.6666666666666666,0.6666666666666666
27,0.0,0.0,0.0
28,0.5,0.5,0.5
29,0.5,0.5,0.5
30,0.0,0.0,0.0
31,0.5,0.5,0.5
32,0.5,0.5,0.5
33,0.0,0.0,0.0
34,0.6666666666666666,0.6666666666666666,0.6666666666666666
35,0.6666666666666666,0.6666666666666666,0.6666666666666666
36,0.0,0.0,0.0
37,0.6666666666666666,0.6666666666666666,0.6666666666666666
38,0.5,0.5,0.5
39,0.0,0.0,0.0
40,0.6666666666666666,0.6666666666666666,0.6666666666666666
41,0.5,0.5,0.5
42,0.0,0.0,0.0
43,0.6666666666666666,0.6666666666666666,0.6666666666666666
44,0.16666666666666666,0.16666666666666666,0.16666666666666666
45,0.0,0.0,0.0
46,0.6666666666666666,0.6666666666666666,0.6666666666666666
47,0.6666666666666666,0.6666666666666666,0.6666666666666666
48,0.0,0.0,0.0
49,0.5,0.5,0.5
50,0.3333333333333333,0.3333333333333333,0.3333333333333333
51,0.0,0.0,0.0
52,0.6666666666666666,0.6666666666666666,0.6666666666666666
53,0.6666666666666666,0.6666666666666666,0.6666666666666666
54,0.0,0.0,0.0
55,0.6666666666666666,0.6666666666666666,0.6666666666666666
56,0.6666666666666666,0.6666666666666666,0.6666666666666666
57,0.0,0.0,0.0
58,0.6666666666666666,0.6666666666666666,0.6666666666666666
59,0.6666666666666666,0.6666666666666666,0.6666666666666666
60,0.0,0.0,0.0
