environment,archive_size,best_value,num_solutions
1,1,-74.99999985192687,1
2,1,-74.99999998569976,1
3,0,,0
4,3,-74.99999998157728,3
5,4,-74.99999998398314,4
6,0,,0
7,1,-74.99999991948741,1
8,1,-74.99999993539295,1
9,0,,0
10,1,-74.99999995356252,1
11,1,-74.99999992730233,1
12,0,,0
13,1,-74.99999988900736,1
14,1,-74.99999980765783,1
15,0,,0
16,1,-74.9999998157395,1
17,3,-74.99999992232178,3
18,0,,0
19,1,-74.99999987517924,1
20,1,-74.99999993087667,1
21,0,,0
22,1,-74.99999998208283,1
23,1,-74.9999999619579,1
24,0,,0
25,2,-74.99999986958443,2
26,1,-74.99999998079508,1
27,0,,0
28,3,-74.99999986561527,3
29,4,-74.99999996628077,4
30,0,,0
31,4,-74.99999995760443,4
32,3,-74.99999998120964,3
33,0,,0
34,3,-74.99999994517587,3
35,3,-74.99999998474794,3
36,0,,0
37,1,-74.99999993726475,1
38,3,-74.99999994345325,3
39,0,,0
40,1,-74.99999987548043,1
41,3,-74.99999995380246,3
42,0,,0
43,1,-74.99999990607265,1
44,4,-74.99999998157917,4
45,0,,0
46,3,-74.99999993626535,3
47,3,-74.99999994768513,3
48,0,,0
49,3,-74.9999999702507,3
50,3,-74.99999996323692,3
51,0,,0
52,3,-74.99999989999937,3
53,3,-74.99999995896309,3
54,0,,0
55,4,-74.99999996519674,4
56,1,-74.9999999305717,1
57,0,,0
58,3,-74.999999959256,3
59,3,-74.9999999692024,3
60,0,,0
