environment,archive_size,best_value,num_solutions
1,4,8.854784309743259e-09,4
2,3,2.1824351420865896e-08,3
3,0,,0
4,4,2.3462848671506486e-08,4
5,3,2.3849755234746625e-08,3
6,0,,0
7,3,1.7508230961016508e-08,3
8,3,6.6983455957903e-09,3
9,0,,0
10,3,2.7904926974573382e-08,3
11,3,1.43764939827717e-08,3
12,0,,0
13,3,1.574961768234843e-08,3
14,3,1.4869299553609261e-08,3
15,0,,0
16,3,1.764490733773606e-08,3
17,3,1.2152544952565575e-08,3
18,0,,0
19,3,2.7324743874205472e-08,3
20,3,7.4824737748902e-09,3
21,0,,0
22,3,1.1300319908669291e-08,3
23,3,1.0954819793081317e-08,3
24,0,,0
25,3,4.770811188176701e-09,3
26,3,6.8689166859984545e-09,3
27,0,,0
28,3,1.9920309952712823e-08,3
29,3,3.255385680514575e-09,3
30,0,,0
31,3,7.31133543229053e-09,3
32,4,8.273062154148451e-09,4
33,0,,0
34,4,1.2484788137404678e-08,4
35,3,3.3182988904915957e-09,3
36,0,,0
37,4,1.2565829361664082e-09,4
38,4,5.734268607258838e-09,4
39,0,,0
40,4,7.4140899615762e-09,4
41,4,2.2760890745506747e-08,4
42,0,,0
43,4,3.5534357761183403e-09,4
44,4,1.7978340398810293e-09,4
45,0,,0
46,4,7.285204663984797e-09,4
47,4,1.3463516723574473e-08,4
48,0,,0
49,4,9.956569302874121e-09,4
50,4,7.692294386784671e-09,4
51,0,,0
52,4,1.0853497858312902e-08,4
53,4,4.434853914195723e-09,4
54,0,,0
55,4,5.376676695002224e-09,4
56,4,2.5077302322444426e-08,4
57,0,,0
58,4,9.371755797000664e-09,4
59,4,2.7003642230760028e-09,4
60,0,,0
