environment,archive_size,best_value,num_solutions
1,3,1.3696411736161452e-08,3
2,4,3.6122351641985044e-09,4
3,0,,0
4,4,4.6244992095008675e-09,4
5,4,2.0609831614649835e-08,4
6,0,,0
7,3,3.4516656835247904e-09,3
8,3,3.6198038576943764e-09,3
9,0,,0
10,3,4.771379742020726e-09,3
11,3,6.137419359503695e-09,3
12,0,,0
13,3,7.115611810585038e-09,3
14,2,2.3338794466853194e-09,2
15,0,,0
16,3,7.093045155709905e-09,3
17,3,1.2171325071629101e-08,3
18,0,,0
19,3,1.2092702261045673e-08,3
20,3,3.600269619657348e-09,3
21,0,,0
22,3,5.517128464841444e-09,3
23,3,4.556121093395025e-09,3
24,0,,0
25,3,2.7084490841429193e-08,3
26,3,1.6172280150138844e-08,3
27,0,,0
28,3,1.176089236216449e-09,3
29,3,3.556434450412598e-09,3
30,0,,0
31,3,6.752289718652436e-09,3
32,4,5.5608546273122375e-09,4
33,0,,0
34,4,1.5645332590853357e-08,4
35,4,1.1289296416552729e-08,4
36,0,,0
37,4,1.4560650961335649e-09,4
38,4,1.3264519685887568e-08,4
39,0,,0
40,4,2.1813433787915948e-08,4
41,4,6.6458433505796684e-09,4
42,0,,0
43,4,9.156513919558263e-09,4
44,3,1.3220100678970778e-08,3
45,0,,0
46,3,1.5655857212235396e-08,3
47,4,1.7327959961695119e-09,4
48,0,,0
49,4,1.3291944915694419e-08,4
50,3,3.814541998148023e-08,3
51,0,,0
52,4,1.2272476488617079e-08,4
53,4,1.3782281156409665e-08,4
54,0,,0
55,4,3.5323955741396446e-09,4
56,4,5.7476556717590495e-09,4
57,0,,0
58,4,9.966933278746786e-09,4
59,4,6.737489625446454e-09,4
60,0,,0
