environment,archive_size,best_value,num_solutions
1,5,2.4432871579063096e-08,5
2,4,1.7673456877164035e-08,4
3,0,,0
4,3,4.724549184283144e-09,3
5,4,4.6899252241035785e-09,4
6,0,,0
7,4,1.6350951309390334e-08,4
8,5,6.037387835054531e-09,5
9,0,,0
10,4,1.0653879367986504e-08,4
11,4,3.0448984690516537e-09,4
12,0,,0
13,4,3.2554609231763903e-09,4
14,4,6.207438889258635e-09,4
15,0,,0
16,5,7.666136891390853e-09,5
17,4,1.7066356683399986e-08,4
18,0,,0
19,4,1.7014356194448335e-08,4
20,4,4.1314510218127566e-08,4
21,0,,0
22,3,3.623924867903085e-08,3
23,4,1.1042972315395641e-09,4
24,0,,0
25,4,5.188145728138028e-09,4
26,4,1.46407710847269e-08,4
27,0,,0
28,4,5.85068369129256e-09,4
29,4,5.321015353713071e-09,4
30,0,,0
31,4,1.496902891813304e-08,4
32,3,1.7039206340680742e-08,3
33,0,,0
34,4,1.0130353048184765e-08,4
35,4,4.017562105975424e-09,4
36,0,,0
37,4,1.4486292471655811e-08,4
38,4,1.5267070657328682e-08,4
39,0,,0
40,3,2.818262625627863e-09,3
41,5,9.356403490718566e-09,5
42,0,,0
43,5,3.032150851126172e-08,5
44,5,8.209875680012147e-09,5
45,0,,0
46,3,4.216452787308278e-09,3
47,5,1.2580905184724517e-08,5
48,0,,0
49,4,7.859760353031825e-09,4
50,5,1.9668269178852553e-08,5
51,0,,0
52,4,9.540556155810891e-10,4
53,5,3.847036937329601e-09,5
54,0,,0
55,5,2.8234879295767435e-09,5
56,5,3.1276884619370582e-09,5
57,0,,0
58,4,1.5186125316081582e-08,4
59,4,7.979927081022497e-09,4
60,0,,0
