environment,archive_size,best_value,num_solutions
1,4,1.3177132979439521e-08,4
2,3,6.9282677242323505e-09,3
3,0,,0
4,4,1.0809832665596975e-09,4
5,4,2.0995508461594205e-08,4
6,0,,0
7,3,2.2118795214270125e-08,3
8,2,1.1727880340525541e-08,2
9,0,,0
10,3,4.526624411415726e-09,3
11,3,4.559448477043296e-09,3
12,0,,0
13,3,9.08228674319552e-09,3
14,2,2.128601874639127e-08,2
15,0,,0
16,3,3.5187747887430783e-09,3
17,3,1.5478609528627244e-08,3
18,0,,0
19,3,1.6949069594119527e-08,3
20,3,8.25504075287214e-09,3
21,0,,0
22,3,4.770870971134321e-09,3
23,3,3.89830992217388e-09,3
24,0,,0
25,3,1.609007053469769e-08,3
26,4,1.0431085303405064e-08,4
27,0,,0
28,3,8.276859434848631e-09,3
29,3,1.1760855160296714e-08,3
30,0,,0
31,3,1.5965596852304092e-08,3
32,4,1.7016261374525175e-08,4
33,0,,0
34,3,1.6967067223198936e-08,3
35,4,8.471530066134728e-09,4
36,0,,0
37,4,1.6624808037516595e-08,4
38,3,6.953594624378989e-09,3
39,0,,0
40,4,1.9585768746977074e-08,4
41,4,3.861727468729698e-09,4
42,0,,0
43,4,1.4672680304146538e-09,4
44,4,1.0545408903856974e-08,4
45,0,,0
46,4,2.4868496872296116e-08,4
47,4,5.1328426622614584e-08,4
48,0,,0
49,4,1.6852447075434e-08,4
50,2,2.0573967203331174e-08,2
51,0,,0
52,4,1.399159078400994e-08,4
53,4,3.29398584279293e-09,4
54,0,,0
55,4,8.058335402339167e-09,4
56,4,6.925237832191943e-09,4
57,0,,0
58,4,5.703086173049755e-09,4
59,4,1.3714574635231234e-08,4
60,0,,0
