environment,archive_size,best_value,num_solutions
1,4,6.122096277867666e-09,4
2,4,4.56845577439806e-09,4
3,0,,0
4,3,8.252645366446812e-09,3
5,5,3.358381329625381e-09,5
6,0,,0
7,3,4.1077146346653704e-09,3
8,5,4.430832230397768e-09,5
9,0,,0
10,4,2.690365370600626e-09,4
11,4,7.498765239411316e-09,4
12,0,,0
13,4,4.07185706728772e-09,4
14,5,9.645521554507621e-09,5
15,0,,0
16,4,1.2836279379733357e-08,4
17,4,2.4236356986228982e-08,4
18,0,,0
19,4,4.640792921981925e-09,4
20,4,2.8548152320379703e-09,4
21,0,,0
22,4,1.7221967901417253e-09,4
23,4,1.5924633157275828e-08,4
24,0,,0
25,4,1.2148395796232857e-08,4
26,4,8.472468007110216e-09,4
27,0,,0
28,4,9.89022851025164e-09,4
29,4,1.730821650156652e-08,4
30,0,,0
31,5,2.6303131561852504e-09,5
32,5,6.200782535461736e-09,5
33,0,,0
34,4,3.796057022133815e-09,4
35,4,1.0588939603372932e-08,4
36,0,,0
37,5,7.025871694748774e-09,5
38,4,3.114019443421569e-09,4
39,0,,0
40,5,9.596027929109729e-09,5
41,4,5.66064442936902e-09,4
42,0,,0
43,4,1.626737426622293e-08,4
44,4,1.0799236036128257e-08,4
45,0,,0
46,4,7.652304496507613e-09,4
47,4,8.375274202905985e-09,4
48,0,,0
49,5,1.829709824317456e-08,5
50,4,1.1968557406131611e-08,4
51,0,,0
52,5,5.453234964428513e-09,5
53,4,8.08375269212954e-09,4
54,0,,0
55,5,6.354946196687301e-09,5
56,4,7.442293997222418e-09,4
57,0,,0
58,5,8.502365999921049e-09,5
59,4,3.96143519844606e-09,4
60,0,,0
