environment,archive_size,best_value,num_solutions
1,5,9.398216695535713e-09,5
2,4,6.61369926585045e-09,4
3,0,,0
4,4,9.50154527452988e-09,4
5,4,8.932081501452216e-09,4
6,0,,0
7,5,1.0958233150656628e-08,5
8,4,3.1303805122762286e-08,4
9,0,,0
10,4,1.15895801759696e-08,4
11,4,3.8090062388224506e-09,4
12,0,,0
13,5,5.275468202556362e-09,5
14,5,4.704407303285319e-09,5
15,0,,0
16,5,2.4179638557947193e-08,5
17,4,1.710448413683967e-08,4
18,0,,0
19,3,1.8115529189891546e-08,3
20,4,1.9508407540904406e-08,4
21,0,,0
22,5,1.3448518016172414e-08,5
23,4,4.475921720935811e-09,4
24,0,,0
25,4,3.151850103001557e-09,4
26,5,8.375909009122607e-09,5
27,0,,0
28,4,4.46474586412704e-09,4
29,3,8.696717439037521e-09,3
30,0,,0
31,4,6.15087789238917e-09,4
32,5,5.709192167421673e-09,5
33,0,,0
34,5,9.218550957597721e-09,5
35,5,1.2952241296629972e-08,5
36,0,,0
37,4,4.262529545617817e-09,4
38,4,1.634799591363866e-08,4
39,0,,0
40,4,1.3695653571674976e-08,4
41,4,2.1606580121915e-09,4
42,0,,0
43,4,2.4728394382892287e-09,4
44,4,4.591737930512046e-09,4
45,0,,0
46,4,2.6156069991034515e-08,4
47,4,1.0666788915251077e-08,4
48,0,,0
49,4,7.219338982467904e-09,4
50,4,1.3597664591468564e-08,4
51,0,,0
52,4,2.486494580729884e-09,4
53,4,1.5110181003325546e-08,4
54,0,,0
55,5,3.2283707542281895e-09,5
56,4,1.7660054448892583e-08,4
57,0,,0
58,4,9.48577949126536e-09,4
59,5,1.005492338114886e-08,5
60,0,,0
