environment,archive_size,best_value,num_solutions
1,4,1.564002840090805e-08,4
2,3,5.446828255045444e-09,3
3,0,,0
4,4,1.325948778373354e-08,4
5,3,9.01585539765131e-09,3
6,0,,0
7,5,1.3311608030013017e-08,5
8,4,7.97911992417637e-09,4
9,0,,0
10,3,1.6812058749682746e-08,3
11,4,1.2030866808404715e-08,4
12,0,,0
13,5,5.787346893956795e-09,5
14,4,4.531860011149068e-09,4
15,0,,0
16,4,8.978948072613066e-09,4
17,4,7.373632454635911e-09,4
18,0,,0
19,5,1.0590590069726254e-08,5
20,4,9.571764362659314e-09,4
21,0,,0
22,4,4.72339828888649e-09,4
23,5,3.420849191497986e-09,5
24,0,,0
25,4,4.5584043917804684e-09,4
26,4,7.634041400354765e-09,4
27,0,,0
28,4,9.769410633271562e-09,4
29,5,9.69177460905061e-09,5
30,0,,0
31,5,3.2435626487321012e-09,5
32,5,4.49127434319051e-09,5
33,0,,0
34,4,6.24427882287376e-09,4
35,4,1.5050139262618797e-08,4
36,0,,0
37,3,2.2535269615949855e-08,3
38,3,1.0897771237720013e-08,3
39,0,,0
40,4,1.4636377594449735e-09,4
41,4,7.641656410974532e-09,4
42,0,,0
43,3,6.02398395594392e-09,3
44,4,1.4342715705237031e-08,4
45,0,,0
46,4,1.8827620020274875e-09,4
47,4,1.0339077482725444e-08,4
48,0,,0
49,4,9.077206175275524e-09,4
50,4,6.322616763790013e-09,4
51,0,,0
52,4,1.1398933359088914e-08,4
53,5,7.077890172551938e-09,5
54,0,,0
55,5,5.120842238334821e-09,5
56,5,8.628806185915502e-09,5
57,0,,0
58,4,6.6927806312374935e-09,4
59,4,8.582413982703126e-09,4
60,0,,0
