environment,tol_0.001,tol_0.0001,tol_1e-05
1,0.625,0.625,0.625
2,0.625,0.625,0.625
3,0.0,0.0,0.0
4,0.5,0.5,0.5
5,0.5,0.5,0.5
6,0.0,0.0,0.0
7,0.625,0.625,0.625
8,0.5,0.5,0.5
9,0.0,0.0,0.0
10,0.5,0.5,0.5
11,0.5,0.5,0.5
12,0.0,0.0,0.0
13,0.625,0.625,0.625
14,0.5,0.5,0.5
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.5,0.5,0.5
18,0.0,0.0,0.0
19,0.5,0.5,0.5
20,0.5,0.5,0.5
21,0.0,0.0,0.0
22,0.5,0.5,0.5
23,0.5,0.5,0.5
24,0.0,0.0,0.0
25,0.5,0.5,0.5
26,0.5,0.5,0.5
27,0.0,0.0,0.0
28,0.5,0.5,0.5
29,0.5,0.5,0.5
30,0.0,0.0,0.0
31,0.5,0.5,0.5
32,0.5,0.5,0.5
33,0.0,0.0,0.0
34,0.625,0.625,0.625
35,0.5,0.5,0.5
36,0.0,0.0,0.0
37,0.625,0.625,0.625
38,0.5,0.5,0.5
39,0.0,0.0,0.0
40,0.5,0.5,0.5
41,0.625,0.625,0.625
42,0.0,0.0,0.0
43,0.5,0.5,0.5
44,0.5,0.5,0.5
45,0.0,0.0,0.0
46,0.25,0.25,0.25
47,0.5,0.5,0.5
48,0.0,0.0,0.0
49,0.625,0.625,0.625
50,0.625,0.625,0.625
51,0.0,0.0,0.0
52,0.5,0.5,0.5
53,0.5,0.5,0.5
54,0.0,0.0,0.0
55,0.625,0.625,0.625
56,0.5,0.5,0.5
57,0.0,0.0,0.0
58,0.5,0.5,0.5
59,0.5,0.5,0.5
60,0.0,0.0,0.0
