environment,archive_size,best_value,num_solutions
1,4,5.329113567838312e-09,4
2,3,1.1488311245510278e-08,3
3,0,,0
4,3,1.2161638879691709e-08,3
5,3,2.9682605356513734e-08,3
6,0,,0
7,3,2.2974808770395716e-08,3
8,3,1.86942346814463e-08,3
9,0,,0
10,2,1.3112634992887126e-08,2
11,3,1.1039106583723684e-08,3
12,0,,0
13,3,4.433000634424626e-08,3
14,2,2.4071763257466156e-08,2
15,0,,0
16,3,5.4275451204841274e-09,3
17,3,3.0789765343949145e-09,3
18,0,,0
19,4,7.505587467093905e-09,4
20,3,9.157255857412435e-09,3
21,0,,0
22,3,5.3395318847052045e-09,3
23,3,7.849232408192092e-09,3
24,0,,0
25,3,9.961332132982241e-09,3
26,4,2.7920692714836937e-09,4
27,0,,0
28,4,6.667407551425985e-09,4
29,3,8.516357819015317e-10,3
30,0,,0
31,4,1.2686927916342712e-09,4
32,4,7.186110211663615e-09,4
33,0,,0
34,4,2.5664684323613097e-08,4
35,3,2.410370017092761e-08,3
36,0,,0
37,4,3.5774720365216464e-09,4
38,4,1.206825241743133e-08,4
39,0,,0
40,3,1.3917607443938454e-08,3
41,4,1.4096373169615786e-08,4
42,0,,0
43,4,4.048085554202133e-09,4
44,4,7.136278338756183e-09,4
45,0,,0
46,4,7.236366570826762e-09,4
47,4,1.4347614902373678e-08,4
48,0,,0
49,3,4.306291358784594e-09,3
50,3,6.5578358904015555e-09,3
51,0,,0
52,4,7.252054707741208e-09,4
53,4,6.260874796509816e-09,4
54,0,,0
55,4,1.7867999265913974e-08,4
56,4,4.4496842659827395e-09,4
57,0,,0
58,4,4.2791874040077595e-09,4
59,4,2.2297245867909113e-08,4
60,0,,0
