environment,archive_size,best_value,num_solutions
1,5,6.758273611090636e-09,5
2,4,3.6790192273172424e-09,4
3,0,,0
4,4,1.1433954060263845e-08,4
5,4,5.650364113171548e-09,4
6,0,,0
7,5,1.7914736628448506e-08,5
8,4,4.428001099524407e-09,4
9,0,,0
10,4,1.4095628511956917e-08,4
11,3,1.0706492316008544e-08,3
12,0,,0
13,4,9.903592934108458e-09,4
14,5,8.385797324618394e-09,5
15,0,,0
16,4,1.0549829816962206e-08,4
17,4,9.181031668563674e-09,4
18,0,,0
19,3,1.4601204612165605e-08,3
20,4,8.489658610876024e-09,4
21,0,,0
22,4,1.2194869975813283e-08,4
23,5,4.7030787789138e-09,5
24,0,,0
25,4,5.796125663698864e-09,4
26,4,1.1587735190432812e-08,4
27,0,,0
28,4,4.0963178169434725e-09,4
29,4,3.5638452888816106e-08,4
30,0,,0
31,4,1.9194231014414715e-08,4
32,5,1.3500520302704994e-08,5
33,0,,0
34,4,6.21868386204049e-09,4
35,4,1.1903782130405598e-08,4
36,0,,0
37,4,1.8349550520883146e-09,4
38,4,1.181353019116406e-09,4
39,0,,0
40,5,6.236867241815868e-09,5
41,4,1.181643442888135e-09,4
42,0,,0
43,4,2.2181416934308154e-09,4
44,4,9.102438084474467e-09,4
45,0,,0
46,4,1.3531263235677572e-09,4
47,4,7.660885264338493e-09,4
48,0,,0
49,4,6.803953988197997e-09,4
50,5,1.1529719949794583e-09,5
51,0,,0
52,4,1.4071892771139792e-08,4
53,4,6.589393943425268e-09,4
54,0,,0
55,5,5.484655372001134e-09,5
56,4,6.135624496308079e-09,4
57,0,,0
58,1,3.7729559738719565,1
59,4,1.4639865736214165e-08,4
60,0,,0
