environment,archive_size,best_value,num_solutions
1,3,2.425172235881052e-09,3
2,3,5.322379116901894e-09,3
3,0,,0
4,4,1.482347967097947e-08,4
5,3,1.0199209652357328e-08,3
6,0,,0
7,3,2.0219076944196717e-08,3
8,4,6.026215378956603e-09,4
9,0,,0
10,3,1.1495996664529577e-08,3
11,3,1.0341814277560323e-08,3
12,0,,0
13,3,2.520598576234077e-08,3
14,3,9.927090786660661e-09,3
15,0,,0
16,3,1.847456941750028e-08,3
17,3,1.1896375914068759e-08,3
18,0,,0
19,3,1.5072204163031932e-08,3
20,3,1.4423683672136951e-08,3
21,0,,0
22,3,1.918161584612321e-09,3
23,3,1.3705211552835026e-08,3
24,0,,0
25,3,6.928693284853079e-09,3
26,4,1.72359133681039e-08,4
27,0,,0
28,3,6.623101621365024e-09,3
29,3,9.723452524624458e-09,3
30,0,,0
31,3,9.281359887860037e-09,3
32,4,4.708980177599008e-09,4
33,0,,0
34,4,1.4654266214149514e-08,4
35,4,1.7724134881559856e-09,4
36,0,,0
37,4,1.1578513657509374e-08,4
38,4,2.4005066842604625e-09,4
39,0,,0
40,4,1.0915688720687569e-08,4
41,4,8.099478706107988e-09,4
42,0,,0
43,4,2.7178666864038933e-09,4
44,4,1.2855762843734121e-08,4
45,0,,0
46,3,2.252578183684294e-08,3
47,4,1.5152065476382437e-08,4
48,0,,0
49,3,9.95705240715653e-09,3
50,4,7.904761761899712e-09,4
51,0,,0
52,4,2.5767874887610632e-08,4
53,4,8.82514679273e-09,4
54,0,,0
55,4,7.320444323612031e-09,4
56,4,2.925635095868988e-08,4
57,0,,0
58,4,1.0689212076890571e-08,4
59,1,1.6023052484887985e-09,1
60,0,,0
