environment,archive_size,best_value,num_solutions
1,5,3.7253484046853384e-09,5
2,4,1.0117770787168465e-08,4
3,0,,0
4,4,6.404337201126128e-09,4
5,5,1.0721501484587706e-08,5
6,0,,0
7,4,2.131523435884298e-09,4
8,4,5.683677794751107e-09,4
9,0,,0
10,4,8.822945559287287e-09,4
11,4,9.205165794312682e-09,4
12,0,,0
13,4,7.109344666666883e-09,4
14,4,8.657477209519444e-09,4
15,0,,0
16,5,1.1370209173783686e-08,5
17,4,1.5442329754470827e-08,4
18,0,,0
19,4,8.144967777466185e-09,4
20,4,1.693297310954577e-08,4
21,0,,0
22,4,8.463472232861012e-09,4
23,4,5.974910945614732e-09,4
24,0,,0
25,4,4.771550549727944e-09,4
26,4,8.581990249080403e-09,4
27,0,,0
28,5,1.6972491838714884e-08,5
29,4,5.833208924774833e-09,4
30,0,,0
31,5,1.2693671710444739e-08,5
32,4,1.587325673035e-08,4
33,0,,0
34,5,2.0454088350350973e-08,5
35,4,2.31753578331704e-08,4
36,0,,0
37,4,1.5074501930575695e-08,4
38,5,6.699332628447947e-09,5
39,0,,0
40,5,6.488820431788027e-09,5
41,4,4.8650573241113695e-09,4
42,0,,0
43,4,8.137067427966019e-09,4
44,4,1.90517512365922e-08,4
45,0,,0
46,4,3.595660637289293e-08,4
47,4,2.2891245126303513e-08,4
48,0,,0
49,4,1.0017459765966202e-08,4
50,4,9.754061058435053e-09,4
51,0,,0
52,5,8.9723003586229e-09,5
53,4,1.6890728381215335e-08,4
54,0,,0
55,5,1.1087694712464738e-08,5
56,4,6.960292863956277e-09,4
57,0,,0
58,5,7.086991701420908e-09,5
59,5,5.009880500672365e-09,5
60,0,,0
