environment,archive_size,best_value,num_solutions
1,3,3.548814045800673e-09,3
2,3,9.047270071518221e-09,3
3,0,,0
4,4,6.3760868947676085e-09,4
5,4,8.803819108453903e-09,4
6,0,,0
7,3,9.526518570619245e-09,3
8,3,5.910592314642098e-09,3
9,0,,0
10,3,1.474645651059231e-08,3
11,1,6.37135483591176e-08,1
12,0,,0
13,3,1.0781899312855864e-08,3
14,3,8.7857923128677e-09,3
15,0,,0
16,3,9.888275176652006e-09,3
17,3,1.3959006731169322e-08,3
18,0,,0
19,3,5.65445777055625e-08,3
20,3,1.5300712471728454e-08,3
21,0,,0
22,3,3.4190017602044955e-09,3
23,3,1.7459231148649794e-08,3
24,0,,0
25,3,5.5647051267954935e-09,3
26,3,2.049646940171336e-08,3
27,0,,0
28,3,1.8508853141274784e-09,3
29,3,2.9579048101747492e-08,3
30,0,,0
31,3,3.794735159895964e-09,3
32,3,6.339608799151721e-09,3
33,0,,0
34,4,1.5187414086987887e-08,4
35,4,7.516244665645379e-09,4
36,0,,0
37,4,1.4105499269548158e-08,4
38,4,8.253265290704346e-09,4
39,0,,0
40,4,8.459664669120205e-09,4
41,4,1.0763558784065115e-08,4
42,0,,0
43,4,2.70783389812763e-09,4
44,4,8.301757262085789e-09,4
45,0,,0
46,4,2.08187273005703e-08,4
47,4,2.769139708823168e-08,4
48,0,,0
49,4,7.788117192923793e-09,4
50,2,1.8779374445225785e-08,2
51,0,,0
52,4,6.2555175023851116e-09,4
53,4,7.496922058717298e-09,4
54,0,,0
55,4,6.408486240510445e-09,4
56,4,2.0705262935277103e-09,4
57,0,,0
58,3,1.7837190137609883e-08,3
59,4,1.9289342438610083e-09,4
60,0,,0
