environment,archive_size,best_value,num_solutions
1,5,1.093570556197719e-08,5
2,5,1.6517732825750543e-08,5
3,0,,0
4,4,8.701206279475637e-09,4
5,3,7.470857312082378e-09,3
6,0,,0
7,5,1.688170786641088e-08,5
8,3,6.036933318312801e-09,3
9,0,,0
10,4,5.232317354728033e-09,4
11,5,2.4918241129217724e-09,5
12,0,,0
13,4,1.0009466956078483e-08,4
14,4,5.2713279959137104e-09,4
15,0,,0
16,5,3.3768408640174713e-09,5
17,5,3.41851332504744e-09,5
18,0,,0
19,4,2.1465834984651457e-08,4
20,4,3.6455311640556948e-09,4
21,0,,0
22,5,1.2627968417311225e-08,5
23,4,2.376300203647921e-09,4
24,0,,0
25,5,2.0967551522284537e-08,5
26,4,2.708696237362448e-09,4
27,0,,0
28,5,1.7158402538763693e-08,5
29,4,1.397027224557026e-08,4
30,0,,0
31,5,1.2210627643169442e-08,5
32,4,1.6437505869251342e-08,4
33,0,,0
34,4,1.0162054657483583e-08,4
35,4,3.995525347497011e-09,4
36,0,,0
37,5,4.400959353443879e-09,5
38,4,7.587513249980564e-09,4
39,0,,0
40,5,6.524244050059016e-09,5
41,4,2.1247500388661702e-08,4
42,0,,0
43,4,4.0304132247195065e-09,4
44,4,5.71195821785276e-09,4
45,0,,0
46,4,5.5535899306273395e-09,4
47,5,1.7509093219402932e-08,5
48,0,,0
49,4,3.775812442056435e-09,4
50,4,2.118534771766537e-09,4
51,0,,0
52,4,1.793118974320091e-08,4
53,5,9.269065842716396e-09,5
54,0,,0
55,5,1.4670330672358373e-08,5
56,4,9.255850265890445e-09,4
57,0,,0
58,5,9.908061657645904e-09,5
59,4,4.709854883239948e-09,4
60,0,,0
