environment,archive_size,best_value,num_solutions
1,5,8.065593138905772e-09,5
2,4,7.6847617164391e-09,4
3,0,,0
4,4,1.942927022259017e-08,4
5,4,5.434859341972863e-09,4
6,0,,0
7,4,4.9709225740291175e-09,4
8,4,2.5323396641239397e-09,4
9,0,,0
10,3,3.1897442964261806e-09,3
11,4,2.718900295412116e-08,4
12,0,,0
13,4,4.013150679332787e-09,4
14,4,1.5747920155234816e-08,4
15,0,,0
16,5,9.217714054047637e-09,5
17,4,4.192856924956096e-09,4
18,0,,0
19,1,1.0197964844188892e-08,1
20,5,8.348914958885269e-09,5
21,0,,0
22,4,1.1853936585016688e-08,4
23,4,4.861533243478296e-09,4
24,0,,0
25,4,1.50090887614532e-08,4
26,5,4.690631175352144e-08,5
27,0,,0
28,4,2.398341660463162e-08,4
29,5,5.3154669274377884e-09,5
30,0,,0
31,4,2.0671408271520103e-09,4
32,4,2.4650815164467396e-08,4
33,0,,0
34,4,8.606108055749122e-09,4
35,4,1.6675212367194844e-08,4
36,0,,0
37,4,5.083915794729113e-09,4
38,4,8.090100815220417e-09,4
39,0,,0
40,5,4.956591755012834e-09,5
41,4,6.607535077174976e-09,4
42,0,,0
43,4,1.4322294610030727e-08,4
44,4,9.178400085672136e-09,4
45,0,,0
46,4,1.2377296285344933e-08,4
47,4,1.801059867808176e-08,4
48,0,,0
49,5,1.0950757362078296e-08,5
50,4,1.2601349675752073e-08,4
51,0,,0
52,5,1.234609194749636e-08,5
53,4,3.5734577029226573e-09,4
54,0,,0
55,5,5.5939654419905376e-09,5
56,5,1.309891016384674e-08,5
57,0,,0
58,4,1.5351029883651196e-08,4
59,4,1.4594370561234212e-09,4
60,0,,0
