environment,archive_size,best_value,num_solutions
1,3,9.60997084004561e-09,3
2,3,2.461330406514042e-09,3
3,0,,0
4,4,6.95591852270354e-09,4
5,4,2.20986105488876e-08,4
6,0,,0
7,3,7.572678379313192e-09,3
8,3,1.5323959692824265e-08,3
9,0,,0
10,2,2.8012811160626785e-08,2
11,3,7.325305073066924e-10,3
12,0,,0
13,3,2.8439835056277463e-08,3
14,3,4.718758676318858e-09,3
15,0,,0
16,3,1.4334587097786069e-08,3
17,3,1.1115835981158654e-08,3
18,0,,0
19,3,8.241563380981543e-09,3
20,3,1.1392689524777656e-08,3
21,0,,0
22,3,5.1478927791649265e-09,3
23,3,2.0961155023879726e-09,3
24,0,,0
25,4,6.608995189635264e-09,4
26,3,1.1153815646935632e-08,3
27,0,,0
28,3,5.0754393887407296e-09,3
29,3,5.698266825248356e-09,3
30,0,,0
31,4,8.261434890768884e-09,4
32,4,3.131962099398551e-09,4
33,0,,0
34,4,6.234327737678674e-09,4
35,4,2.376381311819782e-09,4
36,0,,0
37,4,2.2410422945859033e-08,4
38,4,9.216068824692122e-09,4
39,0,,0
40,4,1.0576721985393058e-08,4
41,4,1.4147275688090916e-08,4
42,0,,0
43,4,5.8866868291283285e-09,4
44,4,9.500302930246211e-09,4
45,0,,0
46,4,4.291127766445288e-09,4
47,4,2.2157428996001027e-08,4
48,0,,0
49,4,1.3677044706378231e-08,4
50,4,1.6012406996173498e-08,4
51,0,,0
52,4,1.1101375021881098e-08,4
53,4,1.2605988996200627e-08,4
54,0,,0
55,4,8.241566208088588e-09,4
56,4,6.6712302444367674e-09,4
57,0,,0
58,4,4.444771295979696e-09,4
59,4,8.890879095234878e-09,4
60,0,,0
