environment,archive_size,best_value,num_solutions
1,5,7.519186637294256e-09,5
2,5,4.309856818009431e-09,5
3,0,,0
4,3,4.626466090012425e-09,3
5,5,1.5509175654805142e-08,5
6,0,,0
7,5,4.645412464449583e-09,5
8,4,1.5836948051726924e-08,4
9,0,,0
10,4,7.966093871806444e-09,4
11,5,1.1448959613942678e-09,5
12,0,,0
13,5,1.7792886291060227e-08,5
14,4,1.9091592663771856e-08,4
15,0,,0
16,5,8.330051181286644e-09,5
17,4,5.944893745283313e-09,4
18,0,,0
19,4,8.153831514393615e-09,4
20,5,3.5289877217695122e-09,5
21,0,,0
22,4,1.903284844554313e-08,4
23,5,3.1613237652796513e-09,5
24,0,,0
25,4,2.455232532350372e-09,4
26,4,9.790769292040478e-09,4
27,0,,0
28,4,2.5244190662874695e-08,4
29,4,6.931523520570414e-09,4
30,0,,0
31,4,3.789009113857228e-09,4
32,5,3.479762655407893e-09,5
33,0,,0
34,5,2.100381155184627e-08,5
35,4,9.537591012184428e-09,4
36,0,,0
37,4,3.58782445248076e-08,4
38,4,1.515318624968834e-08,4
39,0,,0
40,5,5.718488810741708e-09,5
41,4,3.254526311095816e-09,4
42,0,,0
43,4,7.590855259369274e-09,4
44,4,1.4305037173524066e-08,4
45,0,,0
46,4,1.4483726436189117e-08,4
47,4,1.4954365996288305e-09,4
48,0,,0
49,5,1.2176727011413557e-08,5
50,4,1.0431063312789744e-08,4
51,0,,0
52,5,8.645187836827061e-09,5
53,5,1.0443855225606283e-08,5
54,0,,0
55,4,1.9972252165728103e-08,4
56,5,8.750673853540242e-09,5
57,0,,0
58,4,3.4211363870419027e-09,4
59,3,9.378514189841975e-09,3
60,0,,0
