environment,archive_size,best_value,num_solutions
1,5,4.180497290153559e-09,5
2,4,1.8567945066854276e-08,4
3,0,,0
4,4,1.946722395146874e-09,4
5,4,1.4283087135753342e-09,4
6,0,,0
7,5,9.23214202967593e-09,5
8,4,2.6302070895050016e-08,4
9,0,,0
10,4,1.9636717334886054e-08,4
11,4,6.964097090967469e-09,4
12,0,,0
13,4,1.9921930272492248e-08,4
14,4,1.6707810184643788e-08,4
15,0,,0
16,5,6.544759460177577e-09,5
17,4,4.982038893776397e-09,4
18,0,,0
19,4,1.8298148198659892e-08,4
20,4,1.874178998283714e-08,4
21,0,,0
22,4,1.3960465536129044e-08,4
23,4,8.578696742145383e-09,4
24,0,,0
25,5,7.124841127937485e-09,5
26,4,1.3306573012569457e-08,4
27,0,,0
28,4,3.282454774346059e-08,4
29,4,2.3966662724008097e-09,4
30,0,,0
31,4,7.763237352499679e-09,4
32,5,3.9741864538166224e-08,5
33,0,,0
34,5,3.1677340552502016e-09,5
35,4,3.5659875502897333e-09,4
36,0,,0
37,5,5.171186600328809e-09,5
38,3,9.007399560112491e-09,3
39,0,,0
40,4,7.73614457677643e-09,4
41,4,4.231873316178787e-09,4
42,0,,0
43,4,6.691787512903371e-09,4
44,5,5.6114594210435804e-09,5
45,0,,0
46,4,7.831009277658648e-09,4
47,4,7.595761661602039e-09,4
48,0,,0
49,5,5.357279369477143e-09,5
50,5,1.1498741647032416e-08,5
51,0,,0
52,5,6.836373241110835e-09,5
53,4,1.0602498784540489e-08,4
54,0,,0
55,1,2.2020981093211128e-08,1
56,4,1.5241832026738985e-08,4
57,0,,0
58,4,1.5085300393882446e-08,4
59,5,5.49257491037016e-09,5
60,0,,0
