environment,archive_size,best_value,num_solutions
1,3,7.478261546271198e-09,3
2,3,2.1336263938497432e-08,3
3,0,,0
4,4,1.4856491570932966e-08,4
5,3,6.796838322974502e-09,3
6,0,,0
7,3,1.4709404780358897e-08,3
8,3,7.522210526559953e-09,3
9,0,,0
10,3,3.3968493992431985e-09,3
11,3,2.5796047989435858e-08,3
12,0,,0
13,1,1.1766895345104246e-07,1
14,1,7.274297512266331e-08,1
15,0,,0
16,2,6.41706073505867e-09,2
17,3,1.0021973952081504e-08,3
18,0,,0
19,3,9.9387468622895e-09,3
20,3,2.070550791674901e-08,3
21,0,,0
22,4,2.0975032228151323e-08,4
23,3,4.022116438940912e-09,3
24,0,,0
25,3,1.6952036512977132e-08,3
26,3,2.292871206590735e-08,3
27,0,,0
28,3,1.1009483229325313e-08,3
29,3,2.233368438795063e-08,3
30,0,,0
31,2,3.497142579319274e-08,2
32,2,1.550764721921953e-08,2
33,0,,0
34,4,6.349388833208281e-09,4
35,4,1.1596410402213392e-08,4
36,0,,0
37,4,1.5786016399344273e-09,4
38,3,9.24463543379613e-09,3
39,0,,0
40,4,1.1949261089463102e-09,4
41,2,6.295157522649594e-09,2
42,0,,0
43,4,3.1268023920192034e-09,4
44,4,8.565080825470691e-09,4
45,0,,0
46,4,2.4926558098219138e-08,4
47,2,2.1993025116682903e-08,2
48,0,,0
49,4,7.589142414924937e-09,4
50,4,2.5919421033007917e-09,4
51,0,,0
52,3,2.9567553682633557e-09,3
53,4,1.1571438979412241e-08,4
54,0,,0
55,4,7.510780804839533e-09,4
56,4,5.969957435055809e-09,4
57,0,,0
58,4,1.796840981212154e-08,4
59,4,3.073160242947577e-08,4
60,0,,0
