environment,archive_size,best_value,num_solutions
1,3,1.18054159824262e-08,3
2,5,7.987320752893022e-09,5
3,0,,0
4,3,9.631325740487677e-09,3
5,4,8.03242711135483e-09,4
6,0,,0
7,4,5.961187168310563e-09,4
8,4,4.228832665429431e-09,4
9,0,,0
10,4,6.974669806895438e-09,4
11,5,2.2786308047111156e-09,5
12,0,,0
13,5,1.0880543248890376e-08,5
14,4,2.417798717389335e-08,4
15,0,,0
16,4,7.825750966286018e-09,4
17,4,7.194438353675056e-09,4
18,0,,0
19,4,4.862398446690558e-09,4
20,5,2.1659813323299407e-09,5
21,0,,0
22,5,4.558220739144921e-09,5
23,4,1.698316049269357e-08,4
24,0,,0
25,4,4.024917573726576e-09,4
26,4,1.018176008875328e-08,4
27,0,,0
28,4,1.5517756040833677e-08,4
29,5,9.321641685277167e-09,5
30,0,,0
31,4,2.190835542263682e-09,4
32,4,1.1289902565815935e-08,4
33,0,,0
34,4,2.4481145941910808e-08,4
35,4,1.557743602372333e-08,4
36,0,,0
37,4,1.4405194449299893e-08,4
38,4,5.923509928907265e-09,4
39,0,,0
40,5,5.158457478063675e-09,5
41,4,9.58737450569167e-09,4
42,0,,0
43,4,5.439920208446606e-09,4
44,4,2.4113412446575122e-09,4
45,0,,0
46,4,1.3727889616542181e-08,4
47,4,1.338225589397411e-08,4
48,0,,0
49,4,4.307167529519626e-09,4
50,4,3.4400183655070604e-08,4
51,0,,0
52,5,9.001487420591985e-09,5
53,4,6.843364486381099e-09,4
54,0,,0
55,5,3.8896944267174616e-08,5
56,5,9.75498063210923e-09,5
57,0,,0
58,4,3.456024203990694e-08,4
59,4,1.5696920769060794e-08,4
60,0,,0
