environment,archive_size,best_value,num_solutions
1,4,8.794414044671787e-09,4
2,4,1.0670621898830231e-08,4
3,0,,0
4,4,1.7869015563435094e-08,4
5,4,9.067749613832271e-09,4
6,0,,0
7,3,1.936153681197617e-08,3
8,3,7.468800939108636e-09,3
9,0,,0
10,2,1.5522550535514725e-09,2
11,2,5.8314730877823096e-09,2
12,0,,0
13,3,6.135065768109903e-09,3
14,3,1.200137114404612e-09,3
15,0,,0
16,3,3.024774463269965e-08,3
17,3,8.597957185314932e-09,3
18,0,,0
19,4,2.310419040466482e-09,4
20,3,1.048085285792629e-08,3
21,0,,0
22,3,1.7758650955930692e-09,3
23,3,7.191360249835875e-09,3
24,0,,0
25,3,1.804094453277096e-09,3
26,3,9.578725723958929e-09,3
27,0,,0
28,3,7.0310975981705055e-09,3
29,3,1.631982746921372e-08,3
30,0,,0
31,3,1.7009211259166004e-08,3
32,4,2.349468418533084e-08,4
33,0,,0
34,4,2.9615123638977088e-09,4
35,4,1.0882421605433033e-08,4
36,0,,0
37,4,2.9065949442474964e-08,4
38,4,1.1161760962156562e-08,4
39,0,,0
40,4,1.5861066606663175e-08,4
41,4,1.0464653011974071e-08,4
42,0,,0
43,4,1.1276096460130163e-08,4
44,4,2.1901160877333676e-09,4
45,0,,0
46,4,1.3787382864873174e-08,4
47,1,5.937658206076017e-09,1
48,0,,0
49,4,5.604781354933074e-09,4
50,4,9.882944740887105e-09,4
51,0,,0
52,4,3.1394703967524437e-09,4
53,4,1.3294305814370484e-08,4
54,0,,0
55,4,1.5361732598979907e-08,4
56,4,1.4128475161278733e-08,4
57,0,,0
58,4,2.8732904207915865e-09,4
59,4,9.18993130544049e-09,4
60,0,,0
