environment,archive_size,best_value,num_solutions
1,4,2.5812089192490046e-09,4
2,4,7.479429157100857e-09,4
3,0,,0
4,3,1.5312366563698712e-08,3
5,4,3.729272735899705e-08,4
6,0,,0
7,5,6.042186541777923e-09,5
8,4,1.331387271528853e-08,4
9,0,,0
10,3,4.417988145257753e-08,3
11,4,1.2250730252678827e-08,4
12,0,,0
13,4,9.518971138229773e-09,4
14,4,5.19001757989728e-09,4
15,0,,0
16,4,1.089806915908471e-08,4
17,4,7.483102295626092e-09,4
18,0,,0
19,5,8.28958165383401e-09,5
20,5,4.053708147557905e-09,5
21,0,,0
22,4,4.464426979326127e-09,4
23,4,4.052796256354646e-08,4
24,0,,0
25,5,8.599077788581145e-09,5
26,4,1.1017171777273438e-08,4
27,0,,0
28,4,8.000654521877049e-09,4
29,5,1.2802387572241907e-08,5
30,0,,0
31,5,3.93647668425685e-09,5
32,5,2.7434655878047547e-09,5
33,0,,0
34,4,3.3906304904149248e-09,4
35,4,1.4717127933424337e-09,4
36,0,,0
37,4,1.2746408676865411e-08,4
38,4,7.80725628201624e-09,4
39,0,,0
40,5,7.271309801693191e-09,5
41,4,1.6703188759497798e-08,4
42,0,,0
43,3,3.930740312787903e-08,3
44,5,6.1004309136748615e-09,5
45,0,,0
46,5,1.3247568303112477e-08,5
47,4,1.0513208794418993e-08,4
48,0,,0
49,1,5.044278026721485,1
50,4,2.0871368483580057e-08,4
51,0,,0
52,5,8.613441091379654e-09,5
53,5,4.9609184438170865e-09,5
54,0,,0
55,5,1.2101994662262771e-08,5
56,5,4.0471442176807435e-09,5
57,0,,0
58,4,9.691271239334729e-09,4
59,4,1.2912163584635606e-08,4
60,0,,0
