environment,archive_size,best_value,num_solutions
1,4,1.3762305100809167e-08,4
2,3,7.569811788553095e-09,3
3,0,,0
4,4,3.404826749080426e-09,4
5,4,1.0159503748491637e-08,4
6,0,,0
7,3,8.411482268131858e-09,3
8,3,1.4395351105241331e-08,3
9,0,,0
10,3,1.2463816203678897e-08,3
11,3,4.550058293137202e-09,3
12,0,,0
13,3,2.0954201797568405e-08,3
14,3,1.6887696710522508e-08,3
15,0,,0
16,4,8.363466598650513e-09,4
17,2,2.7254555407443357e-08,2
18,0,,0
19,3,8.836440352462235e-09,3
20,3,8.825165994766228e-09,3
21,0,,0
22,3,4.523380390512167e-09,3
23,3,1.3473916508865499e-08,3
24,0,,0
25,3,1.205514981489983e-08,3
26,3,1.0870325978279496e-08,3
27,0,,0
28,3,5.220377939417746e-09,3
29,3,4.175711915861946e-09,3
30,0,,0
31,4,1.4792084328303824e-08,4
32,4,3.4183433197254525e-09,4
33,0,,0
34,2,4.625402399914835e-09,2
35,4,1.2586435171181731e-08,4
36,0,,0
37,5,3.359440135112818e-08,5
38,4,9.134632388253899e-09,4
39,0,,0
40,4,1.934216514559051e-09,4
41,4,5.549330147086026e-09,4
42,0,,0
43,3,8.46200897073788e-09,3
44,1,1.883628643831032e-08,1
45,0,,0
46,4,2.7444730957304017e-09,4
47,4,5.2773877303845634e-09,4
48,0,,0
49,4,3.1315877074552093e-09,4
50,4,6.381590119560706e-09,4
51,0,,0
52,5,1.5516935490062054e-08,5
53,4,1.1787914722848878e-08,4
54,0,,0
55,4,8.543764405387889e-09,4
56,4,7.283070989483282e-09,4
57,0,,0
58,4,5.450761898369536e-09,4
59,4,2.2556055707464876e-09,4
60,0,,0
