environment,archive_size,best_value,num_solutions
1,4,3.133470066687459e-09,4
2,5,1.1796032635407321e-08,5
3,0,,0
4,4,7.012645196203026e-09,4
5,4,1.3832073371883363e-08,4
6,0,,0
7,5,8.944468738952422e-10,5
8,4,4.881139941558713e-09,4
9,0,,0
10,4,1.2562506030611295e-08,4
11,5,1.8690881197523067e-09,5
12,0,,0
13,4,8.008514657815079e-09,4
14,5,9.762207698508244e-09,5
15,0,,0
16,4,1.5083486006164388e-08,4
17,4,4.96514108907736e-09,4
18,0,,0
19,4,9.303539678783837e-09,4
20,4,5.054956252426511e-09,4
21,0,,0
22,4,5.7521988814417866e-09,4
23,5,9.974877802672626e-09,5
24,0,,0
25,5,1.5265060741369062e-08,5
26,5,2.6222990776334912e-09,5
27,0,,0
28,4,8.98525850629486e-09,4
29,4,1.3893205803159241e-08,4
30,0,,0
31,3,1.4511782504097399e-08,3
32,4,1.0699328527358687e-08,4
33,0,,0
34,5,1.010087259819284e-08,5
35,5,7.903109845574626e-09,5
36,0,,0
37,4,2.6742049026227218e-09,4
38,4,4.431390734735723e-08,4
39,0,,0
40,4,9.14019200377379e-09,4
41,4,1.5315923937924762e-08,4
42,0,,0
43,3,7.371741915816138e-09,3
44,3,2.238688092319365e-08,3
45,0,,0
46,4,2.5242066024644164e-09,4
47,4,1.6064074884104818e-08,4
48,0,,0
49,5,2.601783215691312e-09,5
50,4,6.643894604115427e-09,4
51,0,,0
52,4,3.547147329739335e-09,4
53,4,3.941541453455484e-09,4
54,0,,0
55,3,1.0628104621753673e-08,3
56,4,1.3591729231738295e-08,4
57,0,,0
58,4,9.82300953441615e-09,4
59,4,5.970518185507161e-09,4
60,0,,0
