environment,archive_size,best_value,num_solutions
1,3,1.7777126807812984e-08,3
2,4,2.0188780598610713e-08,4
3,0,,0
4,4,6.434385276205243e-09,4
5,4,3.853424744542767e-09,4
6,0,,0
7,5,8.281543722338222e-09,5
8,4,1.4913098727341594e-09,4
9,0,,0
10,4,8.193427851878918e-09,4
11,4,8.225458796203299e-09,4
12,0,,0
13,4,1.0986358124771669e-08,4
14,5,2.1381452646327382e-08,5
15,0,,0
16,4,4.4023048221264724e-09,4
17,4,7.112981168878519e-09,4
18,0,,0
19,4,4.1660005113259745e-09,4
20,4,5.4336359807615556e-09,4
21,0,,0
22,4,4.6900759639221184e-09,4
23,4,1.3125320207011973e-08,4
24,0,,0
25,5,1.2431776223184506e-08,5
26,4,1.6152512881351734e-09,4
27,0,,0
28,4,2.3233941794674736e-08,4
29,5,2.2270596439704168e-08,5
30,0,,0
31,4,7.62645181322528e-09,4
32,4,3.80840908161995e-08,4
33,0,,0
34,4,5.114989955338089e-09,4
35,4,5.234620010760607e-09,4
36,0,,0
37,4,4.400009638827979e-09,4
38,4,3.891207501821834e-09,4
39,0,,0
40,4,1.9075580008209496e-08,4
41,4,5.7935299078831085e-09,4
42,0,,0
43,4,4.404717535438711e-09,4
44,4,9.735152832472522e-09,4
45,0,,0
46,4,1.6204722974441353e-08,4
47,4,5.5509045045477444e-09,4
48,0,,0
49,4,1.0874307580217824e-08,4
50,5,4.0408711216257056e-09,5
51,0,,0
52,5,1.0343286850900525e-08,5
53,5,4.2506162717684874e-09,5
54,0,,0
55,4,3.968141978080844e-09,4
56,5,5.170473789696429e-09,5
57,0,,0
58,5,1.3749978340945522e-08,5
59,5,1.5634362086635783e-08,5
60,0,,0
