environment,archive_size,best_value,num_solutions
1,4,6.206053553898784e-09,4
2,4,7.58125813705525e-09,4
3,0,,0
4,4,3.2221187612887806e-08,4
5,4,1.4814134942315759e-08,4
6,0,,0
7,2,5.742282694791517e-09,2
8,5,7.74187454266106e-09,5
9,0,,0
10,5,3.029173053625742e-09,5
11,5,5.615960222810472e-09,5
12,0,,0
13,5,6.1242738772540514e-09,5
14,4,1.0856107357579532e-08,4
15,0,,0
16,5,1.3312538764182348e-08,5
17,5,7.3794171173066095e-09,5
18,0,,0
19,4,4.768325259881523e-09,4
20,3,2.873409751218126e-08,3
21,0,,0
22,5,7.640949191034076e-09,5
23,4,4.979112082109269e-09,4
24,0,,0
25,4,4.355017925244296e-09,4
26,4,6.2803829160299135e-09,4
27,0,,0
28,4,4.2740949180581795e-09,4
29,4,5.466349607922221e-09,4
30,0,,0
31,4,2.52021374099407e-09,4
32,4,3.1495640834339e-09,4
33,0,,0
34,4,3.717692078857222e-09,4
35,5,7.4286503304312916e-09,5
36,0,,0
37,4,5.4778970655912815e-09,4
38,4,7.714323025257987e-09,4
39,0,,0
40,4,1.735270748565696e-08,4
41,5,1.0131442461972264e-08,5
42,0,,0
43,4,1.5960898348276863e-08,4
44,3,2.956234166770362e-08,3
45,0,,0
46,4,4.9256118915797655e-09,4
47,4,1.1527659296175376e-08,4
48,0,,0
49,4,1.619556424069638e-08,4
50,4,5.292935846739203e-09,4
51,0,,0
52,4,6.0488144029526035e-09,4
53,3,2.080642290499391e-08,3
54,0,,0
55,5,1.0039928444867997e-08,5
56,4,2.5384297659791725e-08,4
57,0,,0
58,1,3.348000911762493e-08,1
59,4,7.97012807420467e-09,4
60,0,,0
