environment,archive_size,best_value,num_solutions
1,5,1.0339911760013572e-08,5
2,5,4.524309636861102e-09,5
3,0,,0
4,4,4.7599255236922315e-09,4
5,4,6.009555036511528e-09,4
6,0,,0
7,4,7.848503548251689e-09,4
8,4,7.434170162075886e-09,4
9,0,,0
10,4,1.1943486260389574e-08,4
11,5,6.521368445855755e-09,5
12,0,,0
13,5,7.313253788152009e-09,5
14,4,8.770935855621127e-09,4
15,0,,0
16,4,4.499099240731458e-09,4
17,4,2.6684259356203046e-08,4
18,0,,0
19,4,3.831137284570887e-09,4
20,4,6.88121368431327e-09,4
21,0,,0
22,4,6.41897239547356e-09,4
23,4,4.79424295224379e-09,4
24,0,,0
25,4,6.2450211427741794e-09,4
26,4,8.959047027355309e-09,4
27,0,,0
28,4,6.313140110817915e-09,4
29,5,4.565407331103219e-09,5
30,0,,0
31,3,1.3407518693855481e-08,3
32,5,9.530854005679931e-09,5
33,0,,0
34,4,8.005103308148698e-09,4
35,4,2.1312113348496204e-08,4
36,0,,0
37,5,1.5729086894704017e-08,5
38,4,4.696095545352958e-09,4
39,0,,0
40,5,9.497494330607773e-09,5
41,4,2.7841157827825317e-09,4
42,0,,0
43,4,1.4875151291644491e-08,4
44,4,1.0799629494432476e-08,4
45,0,,0
46,4,7.83609385728234e-09,4
47,3,4.952212700428687e-09,3
48,0,,0
49,4,7.82412805800661e-09,4
50,4,3.7733949244402666e-09,4
51,0,,0
52,4,4.435159098618848e-09,4
53,5,1.3759821776490682e-08,5
54,0,,0
55,1,57.81756357045995,1
56,5,1.853045545191275e-08,5
57,0,,0
58,4,1.4270972098563834e-08,4
59,4,5.663241291433061e-09,4
60,0,,0
