environment,archive_size,best_value,num_solutions
1,5,3.997228272486135e-09,5
2,5,4.0371511529714216e-09,5
3,0,,0
4,4,3.6441223346585835e-09,4
5,4,7.218762353561742e-09,4
6,0,,0
7,5,5.647883633854776e-10,5
8,4,1.2270875394967274e-08,4
9,0,,0
10,5,2.1712413088744355e-08,5
11,4,4.523172346906999e-09,4
12,0,,0
13,4,8.654883203445898e-09,4
14,5,2.7721717928312952e-08,5
15,0,,0
16,5,2.0341931978725248e-08,5
17,4,2.9294297178778064e-09,4
18,0,,0
19,4,1.865014270168199e-08,4
20,5,3.578702921343432e-09,5
21,0,,0
22,4,3.742009154703452e-09,4
23,5,1.4956314577304638e-08,5
24,0,,0
25,4,9.472128424339374e-09,4
26,5,7.342439771295382e-09,5
27,0,,0
28,5,1.835277636033286e-08,5
29,5,1.509214777827993e-08,5
30,0,,0
31,4,6.74600286402513e-09,4
32,4,6.232886386817772e-09,4
33,0,,0
34,5,1.2539887675307956e-08,5
35,5,1.647466939691548e-08,5
36,0,,0
37,5,6.480093672570157e-09,5
38,4,2.8422847650482532e-08,4
39,0,,0
40,4,1.1599904395413115e-08,4
41,4,2.1240788735387288e-08,4
42,0,,0
43,5,3.0577446048355544e-09,5
44,4,1.3040029754060792e-08,4
45,0,,0
46,4,1.520970536103627e-08,4
47,5,1.050545775662067e-08,5
48,0,,0
49,4,1.07872122481179e-08,4
50,5,1.7491514028582507e-08,5
51,0,,0
52,5,2.419767382017292e-09,5
53,4,8.358771668881817e-09,4
54,0,,0
55,5,5.913625189784648e-09,5
56,4,1.4407895374737716e-08,4
57,0,,0
58,4,2.447747262885869e-09,4
59,5,1.0516942013952948e-08,5
60,0,,0
