environment,archive_size,best_value,num_solutions
1,5,3.0926538402949633e-09,5
2,4,7.744999595186451e-09,4
3,0,,0
4,4,1.2162036848730955e-08,4
5,4,1.1478266958805386e-08,4
6,0,,0
7,4,1.3547109961123338e-08,4
8,5,8.772159961534186e-09,5
9,0,,0
10,5,3.509931071006293e-09,5
11,4,8.665050480745318e-09,4
12,0,,0
13,4,9.438749510937553e-09,4
14,4,7.833447311403787e-09,4
15,0,,0
16,4,1.200886547474426e-08,4
17,4,8.545622529080659e-09,4
18,0,,0
19,4,2.129997582780877e-09,4
20,1,9.833761006895118e-09,1
21,0,,0
22,4,1.9446305312916605e-08,4
23,4,2.8800108707550187e-08,4
24,0,,0
25,5,5.5648116818158355e-09,5
26,5,8.411016811958693e-09,5
27,0,,0
28,4,1.9226034633016332e-08,4
29,4,1.1723527547519613e-08,4
30,0,,0
31,4,2.9805497437422545e-09,4
32,4,7.203157539104243e-09,4
33,0,,0
34,5,2.041385308854006e-09,5
35,4,5.124794345265138e-09,4
36,0,,0
37,1,1.62846948825993e-08,1
38,4,1.313628333217432e-08,4
39,0,,0
40,5,1.4019998151857058e-08,5
41,4,3.812253948035771e-09,4
42,0,,0
43,5,8.194111560487173e-09,5
44,4,1.9583335845518732e-08,4
45,0,,0
46,4,1.4141712656369438e-08,4
47,4,6.463251241689093e-09,4
48,0,,0
49,4,5.299481046493365e-09,4
50,4,2.86102420647429e-09,4
51,0,,0
52,5,4.791223458592651e-09,5
53,5,1.2307009714637196e-08,5
54,0,,0
55,3,3.386491700878083e-09,3
56,4,4.12243798548298e-09,4
57,0,,0
58,5,4.4660986792514425e-09,5
59,4,2.961040732675448e-08,4
60,0,,0
