environment,archive_size,best_value,num_solutions
1,3,3.904667307526248e-09,3
2,4,9.86298836149688e-09,4
3,0,,0
4,4,3.2907523782521007e-09,4
5,3,7.85311550422038e-09,3
6,0,,0
7,3,4.640829841213478e-09,3
8,4,1.75302718139001e-09,4
9,0,,0
10,3,1.008260802322038e-08,3
11,2,9.499351864216866e-09,2
12,0,,0
13,4,5.9840435560764546e-09,4
14,3,2.5775908502337727e-09,3
15,0,,0
16,2,1.906395756015019e-08,2
17,3,3.2921456914502743e-09,3
18,0,,0
19,3,5.695614240519435e-09,3
20,3,4.55359454053223e-09,3
21,0,,0
22,3,2.3277001345572602e-08,3
23,3,3.3560254893203475e-09,3
24,0,,0
25,4,1.3503454116658107e-08,4
26,4,1.3072597671886038e-08,4
27,0,,0
28,3,3.3001534889975185e-08,3
29,4,7.047068562648516e-09,4
30,0,,0
31,4,7.395081804207213e-09,4
32,4,1.1989506471675587e-08,4
33,0,,0
34,4,5.110544388454577e-09,4
35,4,8.417441912933535e-09,4
36,0,,0
37,4,4.1066569679491234e-09,4
38,4,1.9768829505598398e-08,4
39,0,,0
40,4,6.83716687898191e-09,4
41,4,7.400302215319243e-09,4
42,0,,0
43,4,2.6255101181296306e-09,4
44,4,2.370609417076613e-09,4
45,0,,0
46,4,8.94109435117306e-09,4
47,4,8.227749099501967e-09,4
48,0,,0
49,4,5.733987598462114e-09,4
50,4,5.548837491240846e-09,4
51,0,,0
52,4,8.560530133553277e-09,4
53,4,1.3056920014672447e-08,4
54,0,,0
55,4,6.348552201108048e-09,4
56,4,1.1509177982305319e-08,4
57,0,,0
58,4,1.6873117395017536e-08,4
59,4,5.1270948010278685e-09,4
60,0,,0
