environment,archive_size,best_value,num_solutions
1,3,3.0639538017046484e-09,3
2,3,4.050305519468421e-08,3
3,0,,0
4,4,1.5301432949863906e-08,4
5,4,9.000957258508277e-09,4
6,0,,0
7,3,2.124809731583491e-08,3
8,2,6.751667839626435e-09,2
9,0,,0
10,3,2.157846358037571e-08,3
11,3,1.023688243823193e-08,3
12,0,,0
13,3,7.149113170903824e-09,3
14,2,3.496324517332859e-08,2
15,0,,0
16,3,1.6933493981388574e-08,3
17,3,1.922363459286084e-09,3
18,0,,0
19,3,6.9923882617981775e-09,3
20,3,6.917608545965539e-09,3
21,0,,0
22,3,3.5481705498817076e-08,3
23,3,3.972021278389643e-09,3
24,0,,0
25,3,3.4583989028783695e-08,3
26,3,9.072705006673518e-09,3
27,0,,0
28,3,1.934165597866436e-08,3
29,3,1.343097464674449e-08,3
30,0,,0
31,3,1.0787101844772873e-08,3
32,2,1.3121317951039124e-08,2
33,0,,0
34,4,6.239162333366511e-09,4
35,4,3.803729427499173e-09,4
36,0,,0
37,4,6.849478088901128e-09,4
38,4,1.6080027132135314e-08,4
39,0,,0
40,3,1.0782439811235872e-08,3
41,3,1.4951537986453417e-08,3
42,0,,0
43,3,1.742830076042075e-08,3
44,4,1.3278576154016315e-08,4
45,0,,0
46,4,2.8492348102440193e-09,4
47,4,2.976155942815664e-09,4
48,0,,0
49,3,8.112889012454922e-09,3
50,4,2.9678101553558335e-09,4
51,0,,0
52,4,7.334588864964466e-09,4
53,4,7.1990766384282016e-09,4
54,0,,0
55,4,5.33821850939026e-09,4
56,4,9.789840350922427e-09,4
57,0,,0
58,4,1.452881840143419e-09,4
59,4,9.105085146290498e-09,4
60,0,,0
