environment,archive_size,best_value,num_solutions
1,4,1.1019146920530381e-08,4
2,4,1.1150578306179e-08,4
3,0,,0
4,4,3.248087834286962e-09,4
5,4,2.522503543080068e-09,4
6,0,,0
7,4,1.2353320889096083e-08,4
8,4,9.351527620709835e-09,4
9,0,,0
10,4,1.0090142942245847e-08,4
11,4,9.9468126644064e-09,4
12,0,,0
13,5,1.6267106194094073e-08,5
14,4,1.9391685529373845e-08,4
15,0,,0
16,4,4.0032597971577954e-09,4
17,5,6.983419743816003e-09,5
18,0,,0
19,4,9.275852571823796e-09,4
20,4,1.1130968022546798e-08,4
21,0,,0
22,4,1.2214347224045208e-08,4
23,4,3.1812070465497415e-08,4
24,0,,0
25,5,1.7890825735856523e-08,5
26,5,9.043576443027393e-09,5
27,0,,0
28,4,4.193992969935258e-09,4
29,4,5.9074282359791476e-09,4
30,0,,0
31,4,1.2980853645272417e-08,4
32,5,1.5234088243864366e-08,5
33,0,,0
34,4,2.17557476031209e-08,4
35,5,1.4192100199221806e-08,5
36,0,,0
37,4,8.387123796704915e-09,4
38,4,1.1535114064951714e-08,4
39,0,,0
40,4,1.1185906627509339e-08,4
41,4,6.453137580156788e-09,4
42,0,,0
43,4,1.2513585395859216e-08,4
44,4,1.5768118776023208e-08,4
45,0,,0
46,4,5.899305439563144e-09,4
47,4,2.896504102392156e-09,4
48,0,,0
49,4,4.664187214957639e-09,4
50,5,8.452028764236507e-09,5
51,0,,0
52,4,6.596387562574451e-09,4
53,4,4.54907342645273e-09,4
54,0,,0
55,5,4.919952460290804e-09,5
56,5,1.0341737882255626e-08,5
57,0,,0
58,5,6.209550172976171e-09,5
59,4,1.3322197217667832e-08,4
60,0,,0
