tolerance,mean_MPR,worst_MPR,best_MPR,std_MPR
0.001000,0.348681,0.337500,0.375000,0.008290
0.000100,0.348681,0.337500,0.375000,0.008290
0.000010,0.348681,0.337500,0.375000,0.008290
