environment,archive_size,best_value,num_solutions
1,3,5.945257241029106e-09,3
2,3,1.4913804360495738e-08,3
3,0,,0
4,4,1.102124759738275e-08,4
5,3,1.2218139731875152e-08,3
6,0,,0
7,3,2.3045730152893497e-08,3
8,3,1.2513494324036581e-08,3
9,0,,0
10,2,1.5001961678037683e-08,2
11,3,4.399994752040183e-09,3
12,0,,0
13,3,7.61356732116276e-09,3
14,3,1.2400538423555662e-08,3
15,0,,0
16,3,8.21159501698691e-09,3
17,3,1.390724406163306e-08,3
18,0,,0
19,3,6.55166773687877e-09,3
20,3,6.484662069780291e-09,3
21,0,,0
22,3,2.262467691314061e-08,3
23,4,5.006297444813781e-09,4
24,0,,0
25,3,1.197213792137117e-09,3
26,4,1.534344715522674e-08,4
27,0,,0
28,3,2.6105881809969824e-08,3
29,3,2.1289324926450138e-08,3
30,0,,0
31,3,1.0780524845346685e-08,3
32,3,1.755407117430997e-08,3
33,0,,0
34,4,7.216614032888154e-09,4
35,4,5.994131931620129e-09,4
36,0,,0
37,4,2.1372812935693446e-08,4
38,3,2.280166450157599e-08,3
39,0,,0
40,4,4.750731278512927e-09,4
41,3,1.687251137034405e-08,3
42,0,,0
43,4,5.221350827458314e-09,4
44,1,1.7796937929494847e-08,1
45,0,,0
46,4,5.961285052207541e-09,4
47,4,9.489610770575908e-09,4
48,0,,0
49,3,8.782308663951285e-09,3
50,2,2.0865998277676378e-08,2
51,0,,0
52,4,9.450646152655574e-09,4
53,4,5.1254089007845776e-09,4
54,0,,0
55,4,4.3101239926043254e-09,4
56,4,8.898073260305468e-09,4
57,0,,0
58,4,7.754047490722986e-09,4
59,4,1.0912805300809215e-08,4
60,0,,0
