environment,archive_size,best_value,num_solutions
1,4,1.624573457944298e-08,4
2,4,1.0598185804274184e-08,4
3,0,,0
4,3,3.4347996052189075e-09,3
5,3,2.999130072504962e-08,3
6,0,,0
7,3,5.2794145739050725e-09,3
8,3,8.895598102645975e-09,3
9,0,,0
10,3,1.2161682037373838e-08,3
11,2,3.130349411153573e-08,2
12,0,,0
13,3,5.800162047093425e-09,3
14,4,2.414696152410113e-08,4
15,0,,0
16,2,2.1981203670066998e-08,2
17,3,8.0575925088289e-09,3
18,0,,0
19,3,8.340845096760215e-09,3
20,3,3.657051792944008e-08,3
21,0,,0
22,3,1.205900388403965e-08,3
23,3,5.490604254331208e-09,3
24,0,,0
25,3,1.9312428286246578e-08,3
26,4,5.106884649094313e-09,4
27,0,,0
28,3,6.040719984099234e-09,3
29,3,1.4540810671878425e-08,3
30,0,,0
31,3,1.1625411943359768e-08,3
32,4,1.0433730979535015e-08,4
33,0,,0
34,4,2.2102386365114944e-08,4
35,4,1.214039748398162e-09,4
36,0,,0
37,4,6.332751882482644e-09,4
38,4,5.9517767140330105e-08,4
39,0,,0
40,4,5.007305352808373e-09,4
41,4,1.2825134079753471e-08,4
42,0,,0
43,4,1.2735920794025051e-08,4
44,4,1.792196475966334e-09,4
45,0,,0
46,4,8.582294095661421e-09,4
47,4,6.585713088200226e-09,4
48,0,,0
49,2,8.40332089149666e-09,2
50,2,3.3821064003732e-09,2
51,0,,0
52,4,2.2180800801013265e-09,4
53,4,8.514320691630599e-09,4
54,0,,0
55,4,1.3311423000711986e-08,4
56,4,4.435271381613651e-09,4
57,0,,0
58,4,3.926394408153114e-09,4
59,4,3.693567987009333e-09,4
60,0,,0
