environment,archive_size,best_value,num_solutions
1,4,1.683202941284395e-08,4
2,5,8.358368425532272e-09,5
3,0,,0
4,5,1.812326156983838e-08,5
5,4,6.119808754782934e-09,4
6,0,,0
7,3,2.341548644241355e-09,3
8,4,2.5896504595125406e-08,4
9,0,,0
10,4,1.0600871763339276e-08,4
11,4,1.1844976533750672e-08,4
12,0,,0
13,3,8.274361251932736e-09,3
14,4,1.7132144619289194e-08,4
15,0,,0
16,4,1.0510444430835524e-08,4
17,4,6.3211175748127146e-09,4
18,0,,0
19,4,1.5880684065848242e-08,4
20,4,2.729451613455149e-09,4
21,0,,0
22,3,2.2564586354666966e-08,3
23,4,1.0841979132327886e-08,4
24,0,,0
25,4,3.628198992999787e-09,4
26,4,1.3670012363506803e-08,4
27,0,,0
28,4,6.026441675754656e-09,4
29,4,6.032582467547427e-09,4
30,0,,0
31,3,1.9101976845872317e-08,3
32,4,6.772708360313635e-09,4
33,0,,0
34,4,5.559403864200884e-09,4
35,4,8.732443185010168e-09,4
36,0,,0
37,5,7.4172664487502865e-09,5
38,4,1.3555995555324628e-08,4
39,0,,0
40,4,7.252028687225344e-09,4
41,3,4.4016329996011665e-09,3
42,0,,0
43,4,1.4867059259182593e-08,4
44,4,9.722036303414732e-09,4
45,0,,0
46,4,5.439696521162149e-09,4
47,4,6.927849366813697e-09,4
48,0,,0
49,4,1.0041756190865335e-08,4
50,5,1.2452331599043486e-08,5
51,0,,0
52,4,1.511337032483014e-08,4
53,5,4.592400992303597e-09,5
54,0,,0
55,5,3.1690358840297794e-09,5
56,5,1.8906812379253018e-08,5
57,0,,0
58,5,3.1861629634303023e-09,5
59,3,9.301199261049303e-09,3
60,0,,0
