environment,archive_size,best_value,num_solutions
1,4,5.78192929873752e-09,4
2,3,1.2593267752827566e-08,3
3,0,,0
4,3,1.2538617657260246e-08,3
5,4,5.8554817750426456e-09,4
6,0,,0
7,3,5.0411466661474886e-09,3
8,3,1.1067346097445428e-08,3
9,0,,0
10,2,8.78803212966552e-09,2
11,2,6.365306914810006e-09,2
12,0,,0
13,3,6.393276364358662e-09,3
14,3,1.1084998501397544e-08,3
15,0,,0
16,3,8.707603903396502e-09,3
17,3,2.057587215229034e-08,3
18,0,,0
19,3,1.4865416324777212e-08,3
20,3,5.812131018080589e-09,3
21,0,,0
22,3,2.8407140983062828e-08,3
23,4,1.4339385944111654e-08,4
24,0,,0
25,3,7.842573064386395e-09,3
26,5,4.105891911070841e-09,5
27,0,,0
28,4,1.3478231795451208e-08,4
29,3,1.2343318088425454e-08,3
30,0,,0
31,3,1.060822761913512e-08,3
32,4,1.5435496120848577e-09,4
33,0,,0
34,3,6.117102642750064e-09,3
35,3,4.7331006734229325e-09,3
36,0,,0
37,4,1.23070184194166e-08,4
38,4,3.542173133137369e-09,4
39,0,,0
40,4,7.76280128393436e-09,4
41,4,2.732513313703914e-08,4
42,0,,0
43,4,8.858069788463595e-09,4
44,4,1.659168304514702e-08,4
45,0,,0
46,4,2.79923348484759e-08,4
47,4,2.7922706010552605e-09,4
48,0,,0
49,4,7.922319600294189e-09,4
50,3,6.978838982569533e-09,3
51,0,,0
52,2,1.977115522053029e-09,2
53,4,1.2378790422485041e-08,4
54,0,,0
55,4,1.2902599434782752e-08,4
56,4,9.725561157373351e-09,4
57,0,,0
58,4,4.155230809583004e-09,4
59,4,9.791484851500004e-09,4
60,0,,0
