environment,archive_size,best_value,num_solutions
1,3,1.0852811976382472e-08,3
2,3,1.013320902555051e-08,3
3,0,,0
4,3,2.627889926757386e-08,3
5,2,1.3993035808655689e-08,2
6,0,,0
7,3,1.5386443865763504e-08,3
8,3,5.77595104895685e-09,3
9,0,,0
10,2,1.7024080480502878e-08,2
11,3,5.482108925439631e-09,3
12,0,,0
13,3,1.3313142670843388e-08,3
14,3,2.0232610652510634e-08,3
15,0,,0
16,3,5.010002619207135e-09,3
17,4,4.6451910680598294e-09,4
18,0,,0
19,3,1.9995717351758153e-08,3
20,3,4.809578366404906e-09,3
21,0,,0
22,3,1.506018097202842e-08,3
23,3,1.863218723093394e-08,3
24,0,,0
25,3,5.830232320517472e-09,3
26,3,5.139861571414501e-09,3
27,0,,0
28,3,7.539282428549612e-09,3
29,3,4.4296947794085274e-09,3
30,0,,0
31,3,1.8859076893983085e-08,3
32,3,2.0660034255888837e-08,3
33,0,,0
34,4,1.0207213866381412e-08,4
35,4,4.361931268654359e-08,4
36,0,,0
37,4,1.3649065163702294e-08,4
38,4,9.160575835744824e-09,4
39,0,,0
40,4,1.672027965878441e-08,4
41,4,1.0508759729317067e-08,4
42,0,,0
43,4,1.6603649024370582e-08,4
44,4,9.256865769974816e-09,4
45,0,,0
46,4,1.0105019067386721e-08,4
47,4,2.9017868075597872e-09,4
48,0,,0
49,4,5.88624390392044e-09,4
50,3,2.01168858241544e-08,3
51,0,,0
52,4,8.966418220471438e-09,4
53,4,4.357231655482948e-09,4
54,0,,0
55,1,1.6382273905952776e-07,1
56,4,1.5512819755910522e-08,4
57,0,,0
58,4,5.431158034430043e-09,4
59,3,1.5094917122011533e-08,3
60,0,,0
